Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,MILTON KEYNES COUNCIL,CL044617,"1,482,558.66 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,Newcastle upon Tyne City Council,CL044618,"400,065.32 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,NEWHAM LONDON BOROUGH COUNCIL,CL044619,"1,525,581.49 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,NORFOLK COUNTY COUNCIL,CL044620,"959,641.66 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,North East Lincolnshire Council,CL044621,"220,687.86 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,NORTH LINCOLNSHIRE COUNCIL,CL044622,"152,607.28 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,North Northamptonshire Council,CL044665,"70,177.96 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,NORTH TYNESIDE METRO BOROUGH COUNCIL,CL044623,"37,265.22 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,NORTH YORKSHIRE COUNTY COUNCIL,CL044624,"353,578.76 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,NOTTINGHAMSHIRE COUNTY COUNCIL,CL044625,"142,197.92 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,OLDHAM METRO BOROUGH COUNCIL,CL044626,"406,530.24 ",Capital grants - Local Government,,,,,,,,,
